query,run1,run2,run3,avg
base_q1.sql,41.38831639289856,38.55282402038574,38.882338762283325,39.60782639185587
base_q10.sql,37.7638783454895,29.400550365447998,41.855945110321045,36.34012460708618
base_q11.sql,6.0179829597473145,4.904048442840576,5.321840047836304,5.4146238168080645
base_q12.sql,23.72979712486267,25.11011052131653,26.00997567176819,24.949961105982464
base_q13.sql,29.406949520111084,15.084260702133179,16.499443769454956,20.330217997233074
base_q14.sql,16.608551025390625,14.473354816436768,16.600253582000732,15.894053141276041
base_q15.sql,14.681946039199829,13.094171047210693,14.425874710083008,14.067330598831177
base_q16.sql,8.127463579177856,10.990306615829468,11.53815245628357,10.218640883763632
base_q17.sql,,,,
base_q18.sql,182.04179549217224,161.08057069778442,131.82707118988037,158.31647912661234
base_q19.sql,13.757018566131592,13.043801546096802,13.744738101959229,13.515186071395874
base_q2.sql,,,,
base_q20.sql,,,,
base_q21.sql,,,,
base_q22.sql,8.216977834701538,6.304863929748535,6.18637752532959,6.902739763259888
base_q3.sql,29.234763383865356,26.106821298599243,25.996829986572266,27.112804889678955
base_q4.sql,31.933846950531006,31.87448024749756,32.56242752075195,32.12358490626017
base_q5.sql,178.84648156166077,211.61554265022278,139.9226098060608,176.79487800598145
base_q6.sql,14.902701377868652,11.90477204322815,13.305737018585205,13.371070146560669
base_q7.sql,21.411885023117065,19.703449964523315,20.960673570632935,20.69200285275777
base_q8.sql,127.01634049415588,141.53563046455383,141.97936367988586,136.8437782128652
base_q9.sql,0.8885581493377686,0.20282340049743652,0.25985074043273926,0.45041076342264813
variant_q10_v1.sql,21.1630380153656,18.59652829170227,18.67007541656494,19.476547241210938
variant_q10_v2.sql,43.064424991607666,33.485124349594116,34.047449827194214,36.86566638946533
variant_q10_v3.sql,37.455235958099365,38.53537464141846,38.17923617362976,38.056615591049194
variant_q10_v4.sql,40.43312168121338,41.40917468070984,41.12003421783447,40.9874435265859
variant_q11_v1.sql,3.8475496768951416,2.19514536857605,2.5100433826446533,2.8509128093719482
variant_q11_v2.sql,2.444704294204712,2.4528071880340576,2.228086233139038,2.375199238459269
variant_q11_v3.sql,2.178173780441284,2.1375644207000732,2.2451038360595703,2.1869473457336426
variant_q11_v4.sql,2.379699230194092,2.2113139629364014,2.270580291748047,2.2871978282928467
variant_q12_v1.sql,24.077839374542236,24.808837413787842,24.21719980239868,24.367958863576252
variant_q12_v2.sql,25.630186796188354,26.755688190460205,26.36800765991211,26.251294215520222
variant_q12_v3.sql,25.263167142868042,24.96591877937317,24.672062158584595,24.96704936027527
variant_q12_v4.sql,26.023589611053467,27.251075983047485,25.42182159423828,26.23216239611308
variant_q13_v1.sql,16.8802547454834,16.334561109542847,19.729286670684814,17.64803417523702
variant_q13_v2.sql,16.26082491874695,15.700856924057007,15.956753969192505,15.972811937332153
variant_q13_v3.sql,15.899481534957886,15.940257787704468,16.062532424926758,15.967423915863037
variant_q13_v4.sql,16.176518201828003,15.64038348197937,16.016841173171997,15.944580952326456
variant_q14_v1.sql,15.921348810195923,17.02228593826294,16.405252695083618,16.449629147847492
variant_q14_v2.sql,15.561690330505371,15.362897634506226,15.718104839324951,15.547564268112183
variant_q14_v3.sql,16.81842827796936,16.85085105895996,16.957157850265503,16.875479062398274
variant_q14_v4.sql,19.7009539604187,19.477795600891113,19.02224040031433,19.40032998720805
variant_q15_v1.sql,13.421955823898315,12.74910044670105,13.489996910095215,13.220351060231527
